dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-04-09,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,3,1
2023-03-31,ABC18575,PR,Produto X,LOJA,REGULAR,124.9,1,21,0,17,0,4,4,1
2023-03-10,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-01-06,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,0,1
2023-07-21,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-03-19,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-02-11,ABC18575,PR,Produto X,LOJA,PROMOCAO,113.0,0,6,15,5,12,4,0,1
2023-07-12,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-05-23,ABC18575,PR,Produto Z,LOJA,PROMOCAO,266.0,0,14,0,12,0,2,2,1
2023-06-25,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-06-18,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-02-20,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-01-03,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,0,1
2023-02-27,ABC18575,PR,Produto Z,LOJA,PROMOCAO,263.0,0,21,0,16,0,5,2,1
2023-04-12,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-04-05,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,4,1
2023-02-01,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,3,1
2023-05-09,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,6,0
2023-01-16,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-06-27,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-07-21,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-03-24,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-06-17,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-06-16,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-04-12,ABC18575,PR,Produto X,LOJA,REGULAR,124.9,1,21,0,17,0,4,2,1
2023-05-29,ABC18575,PR,Produto Z,LOJA,REGULAR,265.0,0,15,0,12,0,3,1,1
2023-07-09,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-06-25,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-05-06,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,6,0
2023-03-27,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-01-20,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-04-17,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,2,1
2023-05-15,ABC18575,PR,Produto Z,LOJA,PROMOCAO,266.0,0,14,0,12,0,2,2,1
2023-05-30,ABC18575,PR,Produto Z,LOJA,REGULAR,265.0,0,15,0,12,0,3,1,1
2023-02-04,ABC18575,PR,Produto X,LOJA,PROMOCAO,113.0,0,6,15,5,12,4,0,1
2023-01-14,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,3,1
2023-04-18,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,2,1
2023-01-15,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
